"FormID","ChemID","Chemical","Formulation","TG3ID","TherapeuticGrp3","TG2ID","TherapeuticGrp2","TG1ID","TherapeuticGrp1","BaseUnits","PropPharmPresc"
"373126","3731","Abacavir sulphate","Oral liq 20 mg per ml","162003","Nucleosides Reverse Transcriptase Inhibitors","1620","Antiretrovirals","16","Infections - Agents for Systemic Use","ml",100
"373125","3731","Abacavir sulphate","Tab 300 mg","162003","Nucleosides Reverse Transcriptase Inhibitors","1620","Antiretrovirals","16","Infections - Agents for Systemic Use","tab",100
"386325","3863","Abacavir sulphate with lamivudine","Tab 600 mg with lamivudine 300 mg","162003","Nucleosides Reverse Transcriptase Inhibitors","1620","Antiretrovirals","16","Infections - Agents for Systemic Use","tab",100
"404825","4048","Abiraterone acetate","Tab 250 mg","250401","Endocrine Therapy","2504","Endocrine Therapy","25","Oncology Agents and Immunosuppressants","tab",100
"124702","1247","Acarbose","Tab 100 mg","11311","Alpha Glucosidase Inhibitors","113","Diabetes","1","Alimentary Tract and Metabolism","tab",99.9796166165162
"124701","1247","Acarbose","Tab 50 mg","11311","Alpha Glucosidase Inhibitors","113","Diabetes","1","Alimentary Tract and Metabolism","tab",99.9963190575921
"100301","1003","Acetazolamide","Tab 250 mg","310306","Glaucoma Preparations - Carbonic Anhydrase Inhibitors","3103","Eye Preparations","31","Sensory Organs","tab",99.2243813869171
"320101","3201","Acetic acid glacial liquid","Acetic acid glacial liquid","380101","Extemporaneously Compounded Preparations and Galenicals","3801","Extemporaneously Compounded Preparations and Galenicals","38","Extemporaneously Compounded Preparations and Galenicals","ml",99.2217898832685
"205802","2058","Acetic acid with 1, 2- propanediol diacetate and benzethonium","Ear drops 2% with 1, 2-Propanediol diacetate 3% and benzethonium chloride 0.02%","310101","Ear Preparations","3101","Ear Preparations","31","Sensory Organs","ml",99.2381441533984
"100601","1006","Acetic acid with hydroxyquinoline and ricinoleic acid","Jelly with glacial acetic acid 0.94%, hydroxyquinoline sulphate 0.025%, glycerol 5% and ricinoleic acid 0.75% with applicator","131001","Gynaecological Anti-infectives","1310","Gynaecological Anti-infectives","13","Genito-Urinary System","g",99.9429874572406
"604702","6047","Acetylcysteine","Inj 200 mg per ml, 10 ml ampoule","350404","Antidotes","3504","Agents Used in the Treatment of Poisonings","35","Various","inj",93.8721077296096
"604726","6047","Acetylcysteine","Inj 200 mg per ml, 10 ml vial","350404","Antidotes","3504","Agents Used in the Treatment of Poisonings","35","Various","inj",100
