"Type","TG2ID","TherapeuticGrp2","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2021,"2529538","653538",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2022,"2633905","678153",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2023,"2770720","711766",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2024,"2917493","741219",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2025,"3055503","773023",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2021,"53","21",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2022,"58","23",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2023,"66","29",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2024,"63","27",100
"Initial dispensings","3504","Agents Used in the Treatment of Poisonings","New Zealand",2025,"54","20",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2021,"119436","20770",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2022,"122647","20996",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2023,"127917","21558",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2024,"136790","22245",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2025,"143982","22545",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","New Zealand",2021,"379880","110579",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","New Zealand",2022,"386350","113200",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","New Zealand",2023,"407566","119460",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","New Zealand",2024,"428317","123408",100
"Initial dispensings","704","Alpha-Adrenoceptor Blockers","New Zealand",2025,"442965","127670",100
"Initial dispensings","2202","Anaesthetics","New Zealand",2021,"12551","9999",100
"Initial dispensings","2202","Anaesthetics","New Zealand",2022,"21696","18507",100
"Initial dispensings","2202","Anaesthetics","New Zealand",2023,"24622","21120",100
"Initial dispensings","2202","Anaesthetics","New Zealand",2024,"27955","23897",100
"Initial dispensings","2202","Anaesthetics","New Zealand",2025,"30490","25963",100
"Initial dispensings","2204","Analgesics","New Zealand",2021,"4747437","1749590",100
"Initial dispensings","2204","Analgesics","New Zealand",2022,"5305753","1972941",100
"Initial dispensings","2204","Analgesics","New Zealand",2023,"5562766","2051547",100
"Initial dispensings","2204","Analgesics","New Zealand",2024,"5817975","2059390",100
"Initial dispensings","2204","Analgesics","New Zealand",2025,"5833774","2048374",100
"Initial dispensings","101","Antacids and Antiflatulents","New Zealand",2021,"77386","53807",100
"Initial dispensings","101","Antacids and Antiflatulents","New Zealand",2022,"76202","53674",100
"Initial dispensings","101","Antacids and Antiflatulents","New Zealand",2023,"79921","56705",100
"Initial dispensings","101","Antacids and Antiflatulents","New Zealand",2024,"85195","59979",100
"Initial dispensings","101","Antacids and Antiflatulents","New Zealand",2025,"87674","61840",100
"Initial dispensings","1601","Anthelmintics","New Zealand",2021,"13555","12362",100
"Initial dispensings","1601","Anthelmintics","New Zealand",2022,"12574","11572",100
"Initial dispensings","1601","Anthelmintics","New Zealand",2023,"14700","13519",100
"Initial dispensings","1601","Anthelmintics","New Zealand",2024,"16247","14808",100
"Initial dispensings","1601","Anthelmintics","New Zealand",2025,"17723","16054",100
"Initial dispensings","1001","Antiacne Preparations","New Zealand",2021,"98785","56081",100
"Initial dispensings","1001","Antiacne Preparations","New Zealand",2022,"112199","63983",100
"Initial dispensings","1001","Antiacne Preparations","New Zealand",2023,"122070","68819",100
"Initial dispensings","1001","Antiacne Preparations","New Zealand",2024,"138835","77045",100
"Initial dispensings","1001","Antiacne Preparations","New Zealand",2025,"148858","82472",100
"Initial dispensings","2801","Antiallergy Preparations","New Zealand",2021,"983","442",100
"Initial dispensings","2801","Antiallergy Preparations","New Zealand",2022,"962","431",100
"Initial dispensings","2801","Antiallergy Preparations","New Zealand",2023,"24310","20111",100
"Initial dispensings","2801","Antiallergy Preparations","New Zealand",2024,"29054","22915",100
"Initial dispensings","2801","Antiallergy Preparations","New Zealand",2025,"31108","25005",100
"Initial dispensings","401","Antianaemics","New Zealand",2021,"267722","121700",100
"Initial dispensings","401","Antianaemics","New Zealand",2022,"271584","121354",100
"Initial dispensings","401","Antianaemics","New Zealand",2023,"277676","123599",100
"Initial dispensings","401","Antianaemics","New Zealand",2024,"279771","122015",100
"Initial dispensings","401","Antianaemics","New Zealand",2025,"284521","123213",100
"Initial dispensings","1309","Antiandrogen Oral Contraceptives","New Zealand",2021,"66274","34811",100
"Initial dispensings","1309","Antiandrogen Oral Contraceptives","New Zealand",2022,"61225","32110",100
"Initial dispensings","1309","Antiandrogen Oral Contraceptives","New Zealand",2023,"57347","29916",100
"Initial dispensings","1309","Antiandrogen Oral Contraceptives","New Zealand",2024,"54485","27974",100
"Initial dispensings","1309","Antiandrogen Oral Contraceptives","New Zealand",2025,"50584","25958",100
"Initial dispensings","713","Antiarrhythmics","New Zealand",2021,"123779","31700",100
"Initial dispensings","713","Antiarrhythmics","New Zealand",2022,"125942","32609",100
"Initial dispensings","713","Antiarrhythmics","New Zealand",2023,"130646","33510",100
"Initial dispensings","713","Antiarrhythmics","New Zealand",2024,"136154","34607",100
"Initial dispensings","713","Antiarrhythmics","New Zealand",2025,"140237","35446",100
"Initial dispensings","1603","Antibacterials","New Zealand",2021,"2983307","1617911",100
"Initial dispensings","1603","Antibacterials","New Zealand",2022,"3235905","1743716",100
"Initial dispensings","1603","Antibacterials","New Zealand",2023,"3546659","1883130",100
"Initial dispensings","1603","Antibacterials","New Zealand",2024,"3533539","1877593",100
"Initial dispensings","1603","Antibacterials","New Zealand",2025,"3479202","1852509",100
"Initial dispensings","1004","Antibacterials Topical","New Zealand",2021,"248466","201476",100
"Initial dispensings","1004","Antibacterials Topical","New Zealand",2022,"244793","198697",100
"Initial dispensings","1004","Antibacterials Topical","New Zealand",2023,"298837","241064",100
"Initial dispensings","1004","Antibacterials Topical","New Zealand",2024,"298848","240027",100
"Initial dispensings","1004","Antibacterials Topical","New Zealand",2025,"313135","248669",100
"Initial dispensings","2834","Anticholinergic Agents","New Zealand",2021,"240475","72966",100
"Initial dispensings","2834","Anticholinergic Agents","New Zealand",2022,"248708","76453",100
"Initial dispensings","2834","Anticholinergic Agents","New Zealand",2023,"257930","78863",100
"Initial dispensings","2834","Anticholinergic Agents","New Zealand",2024,"277970","82242",100
"Initial dispensings","2834","Anticholinergic Agents","New Zealand",2025,"298058","85716",100
"Initial dispensings","1901","Anticholinesterases","New Zealand",2021,"2188","677",100
"Initial dispensings","1901","Anticholinesterases","New Zealand",2022,"2327","711",100
"Initial dispensings","1901","Anticholinesterases","New Zealand",2023,"2384","759",100
"Initial dispensings","1901","Anticholinesterases","New Zealand",2024,"2732","850",100
"Initial dispensings","1901","Anticholinesterases","New Zealand",2025,"3207","996",100
"Initial dispensings","2205","Antidepressants","New Zealand",2021,"2150465","599367",100
"Initial dispensings","2205","Antidepressants","New Zealand",2022,"2208120","614332",100
"Initial dispensings","2205","Antidepressants","New Zealand",2023,"2289485","628217",100
"Initial dispensings","2205","Antidepressants","New Zealand",2024,"2389453","641525",100
"Initial dispensings","2205","Antidepressants","New Zealand",2025,"2466546","654226",100
"Initial dispensings","104","Antidiarrhoeals","New Zealand",2021,"182302","81857",100
"Initial dispensings","104","Antidiarrhoeals","New Zealand",2022,"198875","95744",100
"Initial dispensings","104","Antidiarrhoeals","New Zealand",2023,"225882","117775",100
"Initial dispensings","104","Antidiarrhoeals","New Zealand",2024,"234792","121344",100
"Initial dispensings","104","Antidiarrhoeals","New Zealand",2025,"238457","121980",100
"Initial dispensings","2207","Antiepilepsy Drugs","New Zealand",2021,"744690","190999",100
"Initial dispensings","2207","Antiepilepsy Drugs","New Zealand",2022,"779531","199757",100
"Initial dispensings","2207","Antiepilepsy Drugs","New Zealand",2023,"839101","214217",100
"Initial dispensings","2207","Antiepilepsy Drugs","New Zealand",2024,"914785","229947",100
"Initial dispensings","2207","Antiepilepsy Drugs","New Zealand",2025,"979139","242544",100
"Initial dispensings","404","Antifibrinolytics, Haemostatics and Local Sclerosants","New Zealand",2021,"52050","38482",100
"Initial dispensings","404","Antifibrinolytics, Haemostatics and Local Sclerosants","New Zealand",2022,"53862","39879",100
"Initial dispensings","404","Antifibrinolytics, Haemostatics and Local Sclerosants","New Zealand",2023,"60252","44575",100
"Initial dispensings","404","Antifibrinolytics, Haemostatics and Local Sclerosants","New Zealand",2024,"67940","49569",100
"Initial dispensings","404","Antifibrinolytics, Haemostatics and Local Sclerosants","New Zealand",2025,"70921","51864",100
"Initial dispensings","2835","Antifibrotics","New Zealand",2021,"1058","344",100
"Initial dispensings","2835","Antifibrotics","New Zealand",2022,"1263","408",100
"Initial dispensings","2835","Antifibrotics","New Zealand",2023,"1482","471",100
"Initial dispensings","2835","Antifibrotics","New Zealand",2024,"1640","521",100
"Initial dispensings","2835","Antifibrotics","New Zealand",2025,"1699","537",100
"Initial dispensings","1604","Antifungals","New Zealand",2021,"108324","77747",100
"Initial dispensings","1604","Antifungals","New Zealand",2022,"109633","79254",100
"Initial dispensings","1604","Antifungals","New Zealand",2023,"118229","85026",100
"Initial dispensings","1604","Antifungals","New Zealand",2024,"121909","87155",100
"Initial dispensings","1604","Antifungals","New Zealand",2025,"127558","90023",100
"Initial dispensings","1007","Antifungals Topical","New Zealand",2021,"183531","142617",100
"Initial dispensings","1007","Antifungals Topical","New Zealand",2022,"179881","139318",100
"Initial dispensings","1007","Antifungals Topical","New Zealand",2023,"198105","153781",100
"Initial dispensings","1007","Antifungals Topical","New Zealand",2024,"204903","156952",100
"Initial dispensings","1007","Antifungals Topical","New Zealand",2025,"213383","162484",100
"Initial dispensings","2804","Antihistamines","New Zealand",2021,"1263338","691221",100
"Initial dispensings","2804","Antihistamines","New Zealand",2022,"1374391","740851",100
"Initial dispensings","2804","Antihistamines","New Zealand",2023,"1470773","789916",100
"Initial dispensings","2804","Antihistamines","New Zealand",2024,"1555158","822182",100
"Initial dispensings","2804","Antihistamines","New Zealand",2025,"1612278","842319",100
"Initial dispensings","715","Antihypotensives","New Zealand",2021,"5003","1180",100
"Initial dispensings","715","Antihypotensives","New Zealand",2022,"5628","1290",100
"Initial dispensings","715","Antihypotensives","New Zealand",2023,"6343","1441",100
"Initial dispensings","715","Antihypotensives","New Zealand",2024,"7765","1725",100
"Initial dispensings","715","Antihypotensives","New Zealand",2025,"9217","2004",100
"Initial dispensings","1610","Antimalarials","New Zealand",2021,"<6","<6",100
"Initial dispensings","1610","Antimalarials","New Zealand",2022,"<6","<6",100
"Initial dispensings","1610","Antimalarials","New Zealand",2023,"12","12",100
"Initial dispensings","1610","Antimalarials","New Zealand",2024,"13","12",100
"Initial dispensings","1610","Antimalarials","New Zealand",2025,"9","8",100
"Initial dispensings","2213","Antimigraine Preparations","New Zealand",2021,"127992","66066",100
"Initial dispensings","2213","Antimigraine Preparations","New Zealand",2022,"130836","67259",100
"Initial dispensings","2213","Antimigraine Preparations","New Zealand",2023,"138308","72034",100
"Initial dispensings","2213","Antimigraine Preparations","New Zealand",2024,"145509","75611",100
"Initial dispensings","2213","Antimigraine Preparations","New Zealand",2025,"151664","79273",100
"Initial dispensings","2216","Antinausea and Vertigo Agents","New Zealand",2021,"561201","321895",100
"Initial dispensings","2216","Antinausea and Vertigo Agents","New Zealand",2022,"621186","364675",100
"Initial dispensings","2216","Antinausea and Vertigo Agents","New Zealand",2023,"667305","398546",100
"Initial dispensings","2216","Antinausea and Vertigo Agents","New Zealand",2024,"691714","406366",100
"Initial dispensings","2216","Antinausea and Vertigo Agents","New Zealand",2025,"723063","423612",100
"Initial dispensings","1612","Antiparasitics","New Zealand",2021,"85","72",100
"Initial dispensings","1008","Antipruritic Preparations","New Zealand",2021,"45844","38375",100
"Initial dispensings","1008","Antipruritic Preparations","New Zealand",2022,"46401","38093",100
"Initial dispensings","1008","Antipruritic Preparations","New Zealand",2023,"27574","23059",100
"Initial dispensings","1008","Antipruritic Preparations","New Zealand",2024,"49438","40345",100
"Initial dispensings","1008","Antipruritic Preparations","New Zealand",2025,"73172","58760",100
"Initial dispensings","2222","Antipsychotics","New Zealand",2021,"735491","157239",100
"Initial dispensings","2222","Antipsychotics","New Zealand",2022,"761462","163222",100
"Initial dispensings","2222","Antipsychotics","New Zealand",2023,"794482","167645",100
"Initial dispensings","2222","Antipsychotics","New Zealand",2024,"844572","174134",100
"Initial dispensings","2222","Antipsychotics","New Zealand",2025,"885131","180264",100
"Initial dispensings","1620","Antiretrovirals","New Zealand",2021,"17321","3208",100
"Initial dispensings","1620","Antiretrovirals","New Zealand",2022,"18272","3310",100
"Initial dispensings","1620","Antiretrovirals","New Zealand",2023,"20000","3590",100
"Initial dispensings","1620","Antiretrovirals","New Zealand",2024,"20166","3702",100
"Initial dispensings","1620","Antiretrovirals","New Zealand",2025,"17811","3828",100
"Initial dispensings","1907","Antirheumatoid Agents","New Zealand",2021,"56006","15962",100
"Initial dispensings","1907","Antirheumatoid Agents","New Zealand",2022,"57242","16376",100
"Initial dispensings","1907","Antirheumatoid Agents","New Zealand",2023,"58613","16797",100
"Initial dispensings","1907","Antirheumatoid Agents","New Zealand",2024,"60177","17048",100
"Initial dispensings","1907","Antirheumatoid Agents","New Zealand",2025,"61772","17522",100
"Initial dispensings","107","Antispasmodics and Other Agents Altering Gut Motility","New Zealand",2021,"112752","79986",100
"Initial dispensings","107","Antispasmodics and Other Agents Altering Gut Motility","New Zealand",2022,"116056","82140",100
"Initial dispensings","107","Antispasmodics and Other Agents Altering Gut Motility","New Zealand",2023,"118159","83668",100
"Initial dispensings","107","Antispasmodics and Other Agents Altering Gut Motility","New Zealand",2024,"120242","84171",100
"Initial dispensings","107","Antispasmodics and Other Agents Altering Gut Motility","New Zealand",2025,"118240","83103",100
"Initial dispensings","407","Antithrombotic Agents","New Zealand",2021,"1880590","477668",100
"Initial dispensings","407","Antithrombotic Agents","New Zealand",2022,"1907572","487272",100
"Initial dispensings","407","Antithrombotic Agents","New Zealand",2023,"1951662","498914",100
"Initial dispensings","407","Antithrombotic Agents","New Zealand",2024,"2011807","509474",100
"Initial dispensings","407","Antithrombotic Agents","New Zealand",2025,"2054936","521814",100
"Initial dispensings","1613","Antitrichomonal Agents","New Zealand",2021,"154295","122182",100
"Initial dispensings","1613","Antitrichomonal Agents","New Zealand",2022,"150223","120000",100
"Initial dispensings","1613","Antitrichomonal Agents","New Zealand",2023,"148527","120068",100
"Initial dispensings","1613","Antitrichomonal Agents","New Zealand",2024,"146725","118919",100
"Initial dispensings","1613","Antitrichomonal Agents","New Zealand",2025,"145415","118266",100
"Initial dispensings","1616","Antituberculotics and Antileprotics","New Zealand",2021,"7835","2714",100
"Initial dispensings","1616","Antituberculotics and Antileprotics","New Zealand",2022,"7707","2555",100
"Initial dispensings","1616","Antituberculotics and Antileprotics","New Zealand",2023,"7573","2743",100
"Initial dispensings","1616","Antituberculotics and Antileprotics","New Zealand",2024,"8595","2986",100
"Initial dispensings","1616","Antituberculotics and Antileprotics","New Zealand",2025,"8437","2708",100
"Initial dispensings","110","Antiulcerants","New Zealand",2021,"1987013","701838",100
"Initial dispensings","110","Antiulcerants","New Zealand",2022,"2059754","722866",100
"Initial dispensings","110","Antiulcerants","New Zealand",2023,"2149738","750882",100
