"Type","TG2ID","TherapeuticGrp2","District","YearDisp","NumDisps","NumPpl","NHIComp"
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2021,"208874","55118",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2021,"135111","34926",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2021,"266828","69100",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2021,"133210","34282",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2021,"299183","78608",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2021,"95664","24700",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2021,"77292","19867",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2021,"58327","15446",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2021,"109512","27638",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2021,"87472","22551",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2021,"117159","30379",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2021,"39899","10333",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2021,"191921","48401",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2021,"27877","7332",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2021,"69231","17716",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2021,"228279","58291",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2021,"31206","7975",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2021,"290469","74905",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2021,"21773","5508",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2021,"40249","10460",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2021,"2529538","653538",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2022,"218960","57510",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2022,"140564","35941",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2022,"282053","72498",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2022,"138046","35161",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2022,"314654","82696",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2022,"99473","25639",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2022,"78827","20089",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2022,"60042","15909",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2022,"113168","28256",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2022,"90867","23173",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2022,"120534","31464",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2022,"41456","10701",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2022,"197628","49749",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2022,"28579","7507",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2022,"70897","18190",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2022,"237291","60774",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2022,"32419","8252",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2022,"304525","78237",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2022,"22431","5686",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2022,"41491","10721",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2022,"2633905","678153",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2023,"231916","60849",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2023,"144678","37197",100
"Initial dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2023,"300818","76963",100
