Area,Population,Age_Under15,Age_15to29,Age_30to64,Age_Over65,Ethnicity_European,Ethnicity_Maori,Ethnicity_Pasifika,Ethnicity_Asian,Ethnicity_MELAAF,Ethnicity_Other,Maori_Descent,No_Maori_Descent,Gender_Male,Gender_Female,Gender_Other,Children_Average,Smoking_Regular,Smoking_ExSmoker,Smoking_NonSmoker,Not_Disabled,Disabled,Income,Employment_FullTime,Employment_PartTime,Employment_Unemployed,Employment_NotInLabourForce,HoursWorked
New Zealand,"5,090,715","936,300","968,304","2,260,728","828,588","3,383,742","887,493","442,632","861,576","92,760","56,133","978,246","3,873,726","2,460,741","2,512,779","20,403",1.6,"310,809","1,012,422","2,734,392","3,695,919","298,980","41,500","2,077,071","545,649","120,129","1,314,774",37.2
Northland,"196,464","38,067","29,856","83,790","42,288","141,591","72,612","9,486","9,345","1,263","2,208","77,472","110,064","95,697","97,776",528,1.9,"16,644","51,108","88,182","124,536","14,049","33,100","67,788","21,735","5,469","60,945",36.5
Waitemata,"637,884","121,626","117,051","300,351","92,355","387,063","69,090","58,188","176,328","17,334","6,729","79,266","537,720","310,971","318,192","2,226",1.5,"28,317","111,828","369,609","487,782","30,501","46,300","272,370","66,531","14,112","156,747",37.1
Auckland,"480,438","73,830","109,974","219,471","61,671","239,460","43,455","61,647","156,603","17,229","3,645","49,857","406,002","229,092","233,430","2,424",1.2,"21,606","72,024","297,486","361,407","22,542","47,700","211,368","49,482","12,708","117,561",37.4
Counties Manukau,"591,720","128,781","124,209","263,157","69,045","216,600","96,411","157,086","188,715","10,494","5,169","104,874","467,121","290,775","292,968","1,449",1.7,"40,131","86,403","329,874","408,966","31,152","41,300","239,712","48,576","17,589","150,531",38.2
Waikato,"443,433","88,611","83,058","190,581","75,789","312,012","110,580","22,992","54,807","6,528","4,893","121,026","303,255","216,240","220,278","1,524",1.8,"31,296","92,154","225,975","312,288","28,269","39,700","174,627","46,758","11,163","116,880",37.7
Lakes,"118,608","23,598","20,466","50,406","19,881","75,783","44,649","6,198","10,068",813,"1,269","47,040","63,900","56,481","57,540",330,1.8,"9,096","27,168","54,492","74,865","7,803","39,300","45,423","12,429","3,312","29,592",37.4
Bay of Plenty,"267,177","51,288","44,232","114,555","53,757","197,574","71,199","9,576","22,002","3,456","2,853","77,559","178,719","128,814","134,301",717,1.8,"17,013","60,768","134,763","184,431","16,380","39,100","101,637","29,922","6,735","74,250",36.6
Tairawhiti,"51,114","11,382","9,627","21,648","8,481","28,905","28,029","2,841","1,968",381,468,"28,656","21,120","25,326","25,686",123,2,"4,755","12,720","22,281","33,351","3,651","35,800","18,867","5,505","1,590","13,791",37
Taranaki,"126,639","25,461","20,643","56,004","24,063","105,513","27,444","3,234","7,221",978,"1,725","30,816","90,612","62,271","63,474",429,1.9,"9,627","29,037","62,049","91,965","8,391","38,400","48,966","14,739","2,646","34,362",37.2
Hawke's Bay,"177,804","34,620","30,222","76,212","33,912","128,352","50,037","10,899","11,343","1,398","2,115","53,463","115,827","85,443","89,004",516,1.8,"14,544","41,685","84,117","113,940","11,019","39,300","69,786","18,579","3,945","48,039",37.4
Whanganui,"68,811","13,188","11,289","29,136","14,379","53,040","20,136","3,024","3,084",387,951,"21,648","43,836","33,534","34,236",222,1.9,"6,114","17,433","31,260","46,572","5,232","33,900","24,936","7,590","1,836","20,445",36.8
MidCentral,"185,982","35,514","34,953","79,113","35,274","145,383","42,291","9,726","16,395","2,043","2,415","46,236","131,883","90,525","93,519",810,1.8,"13,719","42,015","93,603","134,238","13,788","37,800","72,810","20,415","4,305","51,807",37.2
"Capital, Coast and Hutt Valley","465,339","78,954","100,170","215,160","67,074","327,537","67,953","45,036","76,755","11,619","5,028","74,748","375,657","224,262","233,334","3,762",1.4,"23,481","92,685","266,238","363,213","27,675","50,400","213,696","50,019","11,442","107,247",36.9
Wairarapa,"50,142","8,955","7,383","21,768","11,496","43,023","9,516","1,815","2,133",243,654,"10,737","37,218","24,225","25,182",195,1.9,"3,552","13,146","23,946","36,972","3,591","38,500","19,383","6,159",888,"14,214",36.5
Nelson Marlborough,"168,546","26,442","23,871","72,843","36,669","139,410","19,344","4,815","9,501","1,890","2,367","22,143","132,021","78,933","80,283",612,1.7,"9,213","39,789","84,381","122,496","10,479","37,900","63,669","20,973","2,541","46,200",36.4
West Coast,"36,408","5,448","4,518","15,861","7,560","29,961","4,491",540,"1,335",180,723,"5,085","26,877","17,025","16,245",117,1.9,"3,252","9,066","15,618","23,664","2,631","32,700","12,819","4,101",687,"10,335",38
Canterbury,"598,446","102,996","116,259","270,321","99,375","468,255","63,204","22,023","82,557","9,657","7,248","72,648","498,252","291,108","295,155","2,691",1.5,"32,556","120,441","332,958","462,123","35,256","41,800","248,532","71,928","11,673","153,825",36.6
South Canterbury,"63,378","10,551","9,468","26,970","13,794","53,007","6,108","1,845","3,762",624,924,"7,230","51,294","30,291","30,285",207,1.9,"4,560","14,730","30,942","47,232","4,098","38,300","24,987","7,182",876,"17,184",38.4
Southern,"361,146","56,970","71,034","153,285","61,653","291,096","40,923","11,646","27,657","6,249","4,755","47,718","282,171","169,593","171,825","1,521",1.6,"21,324","78,132","186,516","265,704","22,461","39,700","145,608","43,008","6,612","90,747",37.3
